Id_Pelicula;Titulo_original;Fecha_estreno;Descripcion;Cartel_path;Genero_Pelicula
21;The Lord of the Rings: The Return of the King;01/12/2003;Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.;/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg;Adventure, Fantasy, Action
22;Shutter Island;14/02/2010;World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.;/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg;Drama, Thriller, Mystery
23;The Wolf of Wall Street;25/12/2013;A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.;/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg;Crime, Drama, Comedy
24;Avengers: Age of Ultron;22/04/2015;When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earthâ€™s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.;/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg;Action, Adventure, Science Fiction
25;Captain America: Civil War;27/04/2016;Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.;/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg;Adventure, Action, Science Fiction
26;The Dark Knight Rises;17/07/2012;Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.;/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg;Action, Crime, Drama, Thriller
27;Iron Man 3;18/04/2013;When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.;/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg;Action, Adventure, Science Fiction
28;Black Panther;13/02/2018;King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.;/uxzzxijgPIY7slzFvMotPv8wjKA.jpg;Action, Adventure, Science Fiction
29;Doctor Strange;25/10/2016;After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.;/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg;Action, Adventure, Fantasy
30;Mad Max: Fury Road;13/05/2015;An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.;/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg;Action, Adventure, Science Fiction
